CATEGORY,FOOD ITEM,QUANTITY,UNIT,PROTEIN,NET CARBS,DIETARY FIBRE,TOTAL SUGARS,FATS,CALORIES,unit_category,Protein_Level,Carbs_Level,Fats_Level,Refined_Cluster_Description,Cluster_Number,Reverse_Cluster_Number
BATTER BASED,"Crumpet, from white flour, toasted",100,G,5.6,41.6,2.5,1.9,0.8,201.0,Base Units,Medium,Very High,Low,"Medium, Very High, Low",71,53
BATTER BASED,"Doughnut, jam filled, sugar coated",100,G,6.0,46.2,1.9,19.0,17.6,371.0,Base Units,Medium,Very High,Very High,"Medium, Very High, Very High",74,50
BATTER BASED,"Doughnut, dusted with cinnamon & sugar",100,G,6.6,43.9,2.0,13.7,19.5,381.5,Base Units,Medium,Very High,Very High,"Medium, Very High, Very High",74,50
BATTER BASED,"Doughnut, iced",100,G,6.7,48.2,1.7,22.9,15.9,366.1,Base Units,Medium,Very High,Very High,"Medium, Very High, Very High",74,50
BATTER BASED,"Pancake, plain, homemade",100,G,7.4,30.3,0.8,4.2,7.6,220.8,Base Units,Medium,High,High,"Medium, High, High",68,56
BATTER BASED,"Pikelet or pancake, sweet, commercial",100,G,5.7,38.4,2.1,13.8,4.3,219.3,Base Units,Medium,High,Medium,"Medium, High, Medium",67,57
BATTER BASED,"Pikelet, plain, homemade",100,G,7.5,47.9,1.7,47.9,5.9,278.1,Base Units,High,Very High,Medium,"High, Very High, Medium",97,27
BEAN,"Bean, broad, fresh, raw",100,G,6.9,2.2,7.1,0.7,0.5,55.1,Base Units,Medium,Low,Very Low,"Medium, Low, Very Low",55,69
BEAN,"Bean, broad, fresh, boiled, drained",100,G,7.4,2.4,7.6,0.8,0.5,58.9,Base Units,Medium,Low,Very Low,"Medium, Low, Very Low",55,69
BEAN,"Bean, butter, fresh, raw",100,G,2.3,2.3,2.3,1.8,0.2,24.8,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEAN,"Bean, butter, fresh, boiled, drained",100,G,2.5,2.5,2.5,1.9,0.2,26.8,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEAN,"Bean, green, fresh, raw",100,G,1.8,3.3,2.8,2.6,0.0,26.0,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEAN,"Bean, green, fresh, boiled, drained",100,G,1.9,3.5,3.0,2.8,0.0,27.6,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEAN,"Bean, green, frozen, boiled, drained",100,G,1.4,2.8,3.8,1.3,0.2,26.2,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEANS,"Baked beans, canned in tomato sauce",100,G,4.8,10.0,4.8,2.1,0.3,71.5,Base Units,Medium,Medium,Very Low,"Medium, Medium, Very Low",60,64
BEANS,"Baked beans, canned in tomato sauce, reduced salt",100,G,4.8,11.3,4.8,3.4,0.3,76.7,Base Units,Medium,Medium,Very Low,"Medium, Medium, Very Low",60,64
BEANS,"Bean, broad, dried",100,G,24.3,37.0,18.6,2.7,2.1,301.3,Base Units,Very High,High,Low,"Very High, High, Low",116,8
BEANS,"Bean, haricot, dried",100,G,21.9,34.8,18.5,3.5,2.2,283.6,Base Units,Very High,High,Low,"Very High, High, Low",116,8
BEANS,"Bean, haricot, dried, boiled, drained",100,G,8.2,12.6,8.8,4.7,0.7,107.1,Base Units,High,Medium,Low,"High, Medium, Low",86,38
BEANS,"Bean, lima, dried",100,G,21.4,40.6,17.7,3.7,1.7,298.7,Base Units,Very High,High,Low,"Very High, High, Low",116,8
BEANS,"Bean, lima, dried, boiled, drained",100,G,6.4,10.2,5.3,0.6,0.3,79.7,Base Units,Medium,Medium,Very Low,"Medium, Medium, Very Low",60,64
BEANS,"Bean, mung, whole, dried, uncooked",100,G,24.5,41.9,13.7,2.1,2.0,311.0,Base Units,Very High,Very High,Low,"Very High, Very High, Low",121,3
BEANS,"Sprout, bean, fresh, raw",100,G,3.1,1.6,1.3,1.0,0.1,22.3,Base Units,Low,Low,Very Low,"Low, Low, Very Low",30,94
BEEF,"Beef, all cuts, separable fat, raw",100,G,12.1,0.0,0.0,0.0,61.4,601.0,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
BEEF,"Beef, all cuts, separable fat, cooked, no added fat",100,G,15.3,0.0,0.0,0.0,55.6,561.6,Base Units,High,Very Low,Very High,"High, Very Low, Very High",79,45
BEEF,"Beef, casserole meat, boneless or bone-in, shin, lean, raw",100,G,21.9,0.0,0.0,0.0,0.6,93.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless or bone-in, shin, lean, casseroled, no added fat",100,G,33.8,0.0,0.5,0.0,2.8,161.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, raw",100,G,21.6,0.0,0.0,0.0,2.4,108.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, casseroled, no added fat",100,G,32.9,0.0,0.5,0.0,5.4,181.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, casseroled, no added fat",100,G,30.6,0.0,0.4,0.0,11.8,229.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, raw",100,G,21.3,0.0,0.0,0.0,4.2,123.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, boneless dice or strips, lean, raw",100,G,27.6,0.0,0.0,0.0,2.4,132.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, boneless dice or strips, lean, stir-fried, no added fat",100,G,31.5,0.0,0.0,0.0,3.0,153.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, boneless dice or strips, lean, casseroled, no added fat",100,G,37.0,0.0,0.0,0.0,3.1,175.9,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, boneless dice or strips, untrimmed, raw",100,G,27.3,0.0,0.0,0.0,3.3,138.9,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, boneless dice or strips, untrimmed, stir-fried, no added fat",100,G,31.3,0.0,0.0,0.0,3.6,157.6,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, boneless dice or strips, untrimmed, casseroled, no added fat",100,G,36.7,0.0,0.0,0.0,3.7,180.1,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless or bone-in, blade, lean, raw",100,G,22.2,0.0,0.0,0.0,2.6,112.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless or bone-in, blade, lean, grilled, no added fat",100,G,31.9,0.0,0.0,0.0,2.9,153.7,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless or bone-in, blade, lean, casseroled",100,G,30.6,0.0,0.0,0.0,3.6,154.8,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless or bone-in, blade, semi-trimmed, raw",100,G,21.6,0.0,0.0,0.0,6.2,142.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless or bone-in, blade, semi-trimmed, grilled, no added fat",100,G,31.0,0.0,0.0,0.0,5.8,176.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, casserole meat, boneless, blade, semi-trimmed, casseroled",100,G,29.8,0.0,0.0,0.0,6.4,176.8,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless or bone-in, blade, untrimmed, raw",100,G,21.0,0.0,0.0,0.0,9.5,169.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, blade, untrimmed, grilled, no added fat",100,G,30.5,0.0,0.0,0.0,7.4,188.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade, untrimmed, casseroled",100,G,29.3,0.0,0.0,0.0,8.0,189.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade or chuck, lean, raw",100,G,22.6,0.0,0.0,0.0,3.0,117.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless, blade or chuck, lean, casseroled, no added fat",100,G,31.8,0.0,0.0,0.0,7.1,191.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade or chuck, semi-trimmed, raw",100,G,21.8,0.0,0.0,0.0,7.4,153.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade or chuck, semi-trimmed, casseroled",100,G,30.7,0.0,0.0,0.0,10.3,215.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade or chuck, untrimmed, raw",100,G,21.3,0.0,0.0,0.0,10.0,175.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, blade or chuck, untrimmed, casseroled, no added fat",100,G,30.3,0.0,0.0,0.0,11.5,224.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, chuck, lean, raw",100,G,23.0,0.0,0.0,0.0,3.4,122.6,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, casserole meat, boneless, chuck, lean, casseroled, no added fat",100,G,33.0,0.0,0.0,0.0,10.6,227.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, chuck, semi-trimmed, raw",100,G,22.0,0.0,0.0,0.0,8.6,165.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, chuck, semi-trimmed, casseroled",100,G,31.6,0.0,0.0,0.0,14.2,254.2,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, chuck, untrimmed, raw",100,G,21.7,0.0,0.0,0.0,10.4,180.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, casserole meat, boneless, chuck, untrimmed, casseroled, no added fat",100,G,31.2,0.0,0.0,0.0,15.1,260.7,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
BEEF,"Beef, diced, lean, raw",100,G,27.9,0.0,0.0,0.0,2.7,135.9,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, diced, lean, dry-fried, no added fat",100,G,32.1,0.0,0.0,0.0,2.9,154.5,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, diced, lean, casseroled, no added fat",100,G,36.5,0.0,0.0,0.0,3.5,177.5,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, diced, untrimmed, raw",100,G,27.6,0.0,0.0,0.0,3.9,145.5,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, diced, untrimmed, dry-fried, no added fat",100,G,31.8,0.0,0.0,0.0,3.7,160.5,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, diced, untrimmed, casseroled, no added fat",100,G,36.2,0.0,0.0,0.0,4.3,183.5,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless, fillet or tenderloin, lean, raw",100,G,22.2,0.0,0.0,0.0,5.2,135.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless, fillet or tenderloin, lean, grilled, no added fat",100,G,31.9,0.0,0.0,0.0,5.5,177.1,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless, fillet or tenderloin, semi-trimmed, raw",100,G,21.7,0.0,0.0,0.0,8.0,158.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, fillet or tenderloin, semi-trimmed, grilled, no added fat",100,G,31.5,0.0,0.0,0.0,6.7,186.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, fillet or tenderloin, untrimmed, raw",100,G,21.4,0.0,0.0,0.0,9.3,169.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, fillet or tenderloin, untrimmed, grilled, no added fat",100,G,30.8,0.0,0.0,0.0,8.8,202.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, mince, lower fat, raw",100,G,22.9,0.0,0.0,0.0,4.1,128.5,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, mince, lower fat, stir-fried, no added fat",100,G,32.3,0.0,0.0,0.0,8.1,202.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, mince, regular fat, raw",100,G,22.4,0.0,0.0,0.0,8.9,169.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, mince, regular fat, stir-fried, no added fat",100,G,29.5,0.0,0.0,0.0,16.4,265.6,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
BEEF,"Beef, mince, higher fat, raw",100,G,22.5,0.0,0.0,0.0,10.4,183.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, mince, higher fat, stir-fried, no added fat",100,G,27.6,0.0,0.0,0.0,13.5,231.9,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, roasting piece, silverside or topside, lean, raw",100,G,23.0,0.0,0.0,0.0,3.6,124.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, roasting piece, silverside or topside, lean, roasted, no added fat",100,G,29.8,0.0,0.0,0.0,4.2,157.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, roasting piece, silverside or topside, semi-trimmed, raw",100,G,22.8,0.0,0.0,0.0,4.7,133.5,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, roasting piece, silverside or topside, semi-trimmed, roasted, no added fat",100,G,29.4,0.0,0.0,0.0,5.7,168.9,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, roasting piece, silverside or topside, untrimmed, raw",100,G,22.0,0.0,0.0,0.0,8.7,166.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, roasting piece, silverside or topside, untrimmed, roasted, no added fat",100,G,28.6,0.0,0.0,0.0,8.3,189.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, round, lean, raw",100,G,21.0,0.0,0.0,0.0,1.7,99.3,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless, round, lean, grilled, no added fat",100,G,31.8,0.0,0.0,0.0,2.0,145.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless, round, semi-trimmed, raw",100,G,20.5,0.0,0.0,0.0,4.7,124.3,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless, round, semi-trimmed, grilled, no added fat",100,G,31.4,0.0,0.0,0.0,3.3,155.3,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless, round, untrimmed, raw",100,G,20.4,0.0,0.0,0.0,6.0,135.6,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless, round, untrimmed, grilled, no added fat",100,G,31.0,0.0,0.0,0.0,4.6,165.4,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, rump steak, lean, raw",100,G,20.4,0.0,0.0,0.0,2.8,106.8,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, rump steak, lean, grilled, no added fat",100,G,32.0,0.0,0.0,0.0,4.5,168.5,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
